GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201201030052,2012-01-03,"United States","Paramus","Anti-Semitic extremists",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201201030022,2012-01-01,"United States","New York City","Anti-Muslim extremists",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201201030021,2012-01-01,"United States","New York City","Anti-Muslim extremists",0,,,,,0,0,Private Citizens & Property,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201201030020,2012-01-01,"United States","New York City","Anti-Muslim extremists",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201201030019,2012-01-01,"United States","New York City","Anti-Muslim extremists",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201201010020,2012-01-01,"United States","Pensacola","Anti-Abortion extremists",0,,,,,0,0,Abortion Related,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201112070034,2011-12-07,"Mexico","Pachuca","Individuals Tending Toward Savagery",1,,,,,0,1,Educational Institution,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201111110020,2011-11-11,"United States","Washington","Anti-Government extremists",0,,,,,0,0,Government (General),,,North America,Armed Assault,,,Firearms,,,
201110120003,2011-10-12,"United States","Gifford","Unknown",0,,,,,0,Unknown,Business,,,North America,Hostage Taking (Kidnapping),,,Sabotage Equipment,,,
201109260012,2011-09-26,"United States","Caldwell","Animal Liberation Front (ALF)",0,,,,,0,0,Business,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201106290013,2011-06-29,"Mexico","Tultitlan","Earth Liberation Front (ELF)",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201105060004,2011-05-06,"United States","Chester","Unknown",0,,,,,0,0,Transportation,Transportation,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201104230010,2011-04-23,"United States","Stockton","Unknown",0,,,,,0,0,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201102220009,2011-02-22,"United States","Grand Rapids","Unknown",0,,,,,0,0,Private Citizens & Property,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
201101170018,2011-01-17,"United States","Spokane","Unknown",0,,,,,0,0,Private Citizens & Property,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
